year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1839,CANADA,1,22.52855,-5.2619166669999995,2.272416667
1839,FRANCE,3158,54.5453,12.52516667,1.9340000000000002
1839,GERMANY,1916,46.3433,7.9685,1.647083333
1839,HUNGARY,38,49.0682,9.482333333,1.8353333330000001
1839,NORWAY,11,30.7118,-0.715666667,2.1665
1839,POLAND,459,44.6594,7.0329999999999995,1.6696666669999998
1839,SPAIN,13,55.95755,13.30975,1.8425
1839,SWEDEN,12,34.9913,1.6618333330000001,1.924833333
1839,UNITED KINGDOM,21228,46.1546,7.863666667,1.8161666669999998
1839,UNITED STATES,1506,47.3399,8.522166667,1.767333333
1840,AUSTRIA,319,40.8854,4.936333333,1.929416667
1840,BELGIUM,2109,47.477,8.598333333,1.867
1840,CANADA,1,21.82565,-5.652416667000001,2.2880000000000003
1840,FRANCE,3220,53.8343,12.13016667,2.024166667
1840,GERMANY,2504,44.6456,7.025333333,1.7816666669999999
1840,HUNGARY,37,46.87145,8.261916667000001,1.9053333330000002
1840,NORWAY,12,31.51805,-0.26775,2.078583333
1840,POLAND,537,42.78005,5.988916667000001,1.8100833330000001
1840,SPAIN,10,55.73255,13.18475,2.1004166669999997
1840,SWEDEN,11,35.30705,1.83725,1.894916667
1840,UNITED KINGDOM,22096,46.16075,7.867083332999999,1.8521666669999999
1840,UNITED STATES,1603,46.8527,8.2515,1.6546666669999999
1841,AUSTRIA,360,44.16905,6.760583333,1.5861666669999999
1841,BELGIUM,2017,49.2425,9.579166667,1.652833333
1841,CANADA,1,21.713,-5.715,2.238333333
1841,FRANCE,3772,54.506,12.50333333,1.915416667
1841,GERMANY,2606,47.07065,8.372583333,1.5269166669999998
1841,HUNGARY,39,50.49665,10.27591667,1.65975
1841,NORWAY,16,31.3658,-0.35233333299999997,1.96425
1841,POLAND,584,46.07915,7.82175,1.5223333330000002
1841,SPAIN,28,56.0864,13.38133333,1.8674166669999999
1841,SWEDEN,11,35.7077,2.0598333330000003,1.7178333330000002
1841,UNITED KINGDOM,22336,46.4402,8.022333332999999,1.678666667
1841,UNITED STATES,1696,46.66865,8.14925,1.554
1842,AUSTRIA,398,41.9438,5.5243333329999995,1.496083333
1842,BELGIUM,2096,48.51215,9.173416667,1.5773333330000001
1842,CANADA,1,22.26395,-5.408916667000001,1.9698333330000002
1842,FRANCE,3965,54.2627,12.36816667,1.8175
1842,GERMANY,2970,46.06775,7.815416667,1.529333333
1842,HUNGARY,23,48.02555,8.903083333,1.63725
1842,NORWAY,20,33.04955,0.5830833329999999,1.9033333330000002
1842,POLAND,623,44.14595,6.74775,1.5025
1842,SPAIN,39,56.0672,13.37066667,1.7083333330000001
1842,SWEDEN,22,37.17605,2.8755833330000002,1.661666667
1842,UNITED KINGDOM,23300,47.42945,8.571916667,1.61875
1842,UNITED STATES,1888,47.045,8.358333333,1.591083333
1843,AUSTRIA,346,43.21865,6.232583332999999,1.45475
1843,BELGIUM,1941,49.0877,9.493166667,1.377666667
1843,CANADA,1,21.00605,-6.10775,1.9923333330000002
1843,DENMARK,37,-1.3927,-18.5515,2.8776666669999997
1843,FRANCE,3971,54.76565,12.64758333,1.7105833330000002
1843,GERMANY,2811,46.89965,8.277583332999999,1.3356666670000001
1843,HUNGARY,24,49.66985,9.816583332999999,1.528583333
1843,NORWAY,17,31.7807,-0.121833333,1.8235
1843,POLAND,613,46.0871,7.826166667000001,1.3925833330000001
1843,SPAIN,47,56.39225,13.55125,1.611666667
1843,SWEDEN,16,36.20735,2.337416667,1.4685833330000002
1843,UNITED KINGDOM,24316,47.0888,8.382666667,1.55775
1843,UNITED STATES,2119,46.0106,7.783666667,1.5405
1844,AUSTRIA,435,42.0308,5.572666667000001,1.157583333
1844,BELGIUM,2129,47.51165,8.617583332999999,1.220583333
1844,CANADA,1,20.7398,-6.255666667000001,2.0595
1844,DENMARK,43,-1.6267,-18.6815,2.92025
1844,FRANCE,4165,54.0605,12.25583333,1.5714166669999998
1844,GERMANY,2970,44.9957,7.2198333329999995,1.158916667
1844,HUNGARY,51,48.04175,8.912083333,1.26625
1844,NORWAY,18,30.3281,-0.9288333329999999,1.6438333330000001
1844,POLAND,653,43.25405,6.25225,1.182916667
1844,SPAIN,55,56.0732,13.374,1.430833333
1844,SWEDEN,27,33.99305,1.10725,1.311416667
1844,UNITED KINGDOM,25511,46.3496,7.972,1.332666667
1844,UNITED STATES,2540,46.5491,8.082833333,1.482833333
1845,AUSTRIA,491,42.03485,5.574916667,1.430666667
1845,BELGIUM,2243,46.9253,8.291833333,1.47425
1845,CANADA,1,21.3971,-5.8905,2.2985
1845,DENMARK,57,-1.3606,-18.53366667,2.871083333
1845,FRANCE,4868,53.69735,12.05408333,1.564
1845,GERMANY,3442,44.8199,7.122166667,1.453583333
1845,HUNGARY,24,48.6494,9.249666667,1.5450833330000002
1845,NORWAY,27,31.13255,-0.481916667,1.742083333
1845,POLAND,762,43.94675,6.637083333,1.50325
1845,SPAIN,75,55.41965,13.01091667,1.40375
1845,SWEDEN,24,34.96115,1.645083333,1.4783333330000001
1845,UNITED KINGDOM,27289,45.90635,7.72575,1.56675
1845,UNITED STATES,3058,47.13605,8.408916667,1.6644166669999998
1846,AUSTRIA,577,45.0884,7.271333332999999,1.695416667
1846,BELGIUM,2447,50.87435,10.48575,1.641583333
1846,CANADA,7,23.81345,-4.548083333,2.737083333
1846,DENMARK,62,-0.0424,-17.80133333,2.8465833330000003
1846,FRANCE,5057,56.12135,13.40075,1.6933333330000002
1846,GERMANY,3599,48.50015,9.16675,1.61075
1846,HUNGARY,17,51.2459,10.69216667,1.65725
1846,NETHERLANDS,783,51.0695,10.59416667,1.664916667
1846,NORWAY,27,33.2912,0.717333333,2.000333333
1846,POLAND,805,46.8782,8.265666667,1.60175
1846,SPAIN,77,57.2096,14.00533333,1.734
1846,SWEDEN,22,37.364000000000004,2.98,1.83425
1846,UNITED KINGDOM,26117,48.97745,9.431916667000001,1.644833333
1846,UNITED STATES,3469,48.4454,9.136333333,2.030833333
1847,AUSTRIA,568,41.81615,5.453416667000001,1.725583333
1847,BELGIUM,2543,48.122,8.956666667,1.74625
1847,CANADA,9,21.6956,-5.724666667,2.593583333
1847,DENMARK,47,-0.6199,-18.12216667,3.211166667
1847,FRANCE,5688,54.2219,12.3455,1.67925
1847,GERMANY,3777,45.4634,7.479666667,1.68925
1847,HUNGARY,45,47.9834,8.879666667,1.768583333
1847,NETHERLANDS,1056,48.1895,8.994166667,1.78775
1847,NORWAY,28,32.2409,0.133833333,2.090083333
1847,POLAND,825,44.07215,6.70675,1.674916667
1847,SPAIN,71,56.20085,13.44491667,1.5808333330000002
1847,SWEDEN,22,36.18815,2.32675,1.849833333
1847,UNITED KINGDOM,28261,47.0966,8.387,1.773833333
1847,UNITED STATES,4113,46.23275,7.907083332999999,2.0291666669999997
1848,AUSTRIA,637,43.24655,6.248083332999999,1.4990833330000002
1848,BELGIUM,2261,49.1138,9.507666667,1.46175
1848,CANADA,11,21.32285,-5.93175,2.200583333
1848,DENMARK,85,-2.0974,-18.942999999999998,2.8915
1848,FRANCE,4555,54.52985,12.51658333,1.490583333
1848,GERMANY,3501,46.59335,8.107416667,1.39925
1848,HUNGARY,0,50.0117,10.0065,1.583166667
1848,NETHERLANDS,996,49.05545,9.47525,1.52225
1848,NORWAY,36,31.1666,-0.46299999999999997,1.72075
1848,POLAND,831,45.8219,7.678833332999999,1.4131666669999998
1848,SPAIN,80,55.61675,13.12041667,1.496666667
1848,SWEDEN,38,35.58245,1.99025,1.5064166669999999
1848,UNITED KINGDOM,29827,47.0729,8.373833333,1.504833333
1848,UNITED STATES,4581,46.4303,8.016833333,1.7605
1849,AUSTRIA,617,42.30455,5.72475,1.2635
1849,BELGIUM,2384,48.6608,9.256,1.234916667
1849,CANADA,13,21.07475,-6.069583333,2.2915
1849,DENMARK,74,-1.4209,-18.56716667,2.859833333
1849,FRANCE,4745,54.72425,12.62458333,1.3869999999999998
