g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1860-06-01,55.8896,13.271999999999998,0.5479999999999999,66.49340000000001,19.163,1.361,44.9834,7.212999999999999,0.7659999999999999,61.4084,16.338,0.24
1860-07-01,57.5654,14.203,0.47100000000000003,65.4188,18.566,2.125,45.41,7.45,0.8590000000000001,62.1266,16.737000000000002,0.221
1860-08-01,56.777,13.765,0.503,66.1712,18.984,1.5590000000000002,44.724199999999996,7.068999999999999,0.65,61.9412,16.634,0.23399999999999999
1860-09-01,53.4056,11.892,0.535,62.40560000000001,16.892000000000003,2.219,41.9648,5.5360000000000005,1.212,61.0394,16.133,0.242
1860-10-01,47.6816,8.712,0.466,56.6186,13.677,1.876,37.2308,2.906,0.903,59.1368,15.076,0.223
1860-11-01,41.0486,5.027,0.555,51.821600000000004,11.012,1.9709999999999999,31.8002,-0.111,1.121,57.0596,13.922,0.233
1860-12-01,34.9412,1.634,0.75,47.400800000000004,8.556000000000001,2.475,27.455,-2.5250000000000004,1.188,55.0904,12.828,0.27699999999999997
1861-01-01,32.7272,0.4040000000000004,0.846,45.9374,7.7429999999999986,2.125,26.1392,-3.2560000000000002,1.7209999999999999,54.455,12.475,0.299
1861-02-01,35.8466,2.137,0.755,47.4818,8.600999999999999,1.8619999999999999,26.500999999999998,-3.055,1.479,55.250600000000006,12.917000000000002,0.28
1861-03-01,40.0802,4.489,0.759,49.6148,9.786,2.204,28.3874,-2.0069999999999997,1.402,56.8832,13.824000000000002,0.3
1861-04-01,45.4766,7.486999999999999,0.6990000000000001,54.989599999999996,12.772,1.435,34.4696,1.3719999999999999,0.9990000000000001,59.032399999999996,15.017999999999999,0.29100000000000004
1861-05-01,50.928799999999995,10.515999999999998,0.5379999999999999,59.7218,15.401000000000002,2.279,38.9444,3.858000000000001,0.887,59.8802,15.489,0.27699999999999997
1861-06-01,55.4306,13.017,0.7979999999999999,66.7382,19.299,1.078,45.3038,7.391,1.3219999999999998,61.4444,16.358,0.319
1861-07-01,57.140600000000006,13.967,0.47700000000000004,66.866,19.37,1.53,46.0454,7.803,1.286,61.7846,16.547,0.261
1861-08-01,56.580799999999996,13.656,0.5760000000000001,66.0326,18.907,1.014,45.6134,7.562999999999999,0.867,62.08879999999999,16.715999999999998,0.264
1861-09-01,52.5362,11.409,0.501,63.984200000000016,17.769000000000005,1.736,42.7784,5.9879999999999995,0.9359999999999999,60.6686,15.927,0.243
1861-10-01,47.254999999999995,8.475,0.494,60.1592,15.644,1.99,37.8986,3.277,0.8490000000000001,58.829,14.905,0.244
1861-11-01,42.272600000000004,5.707000000000002,0.48200000000000004,53.6792,12.044,2.353,32.738,0.41,0.995,57.371,14.095,0.24
1861-12-01,37.2092,2.894,0.9159999999999999,48.101,8.945,1.29,28.0562,-2.191,1.2209999999999999,56.0066,13.337,0.324
1862-01-01,33.233,0.685,1.105,45.2498,7.360999999999999,2.394,24.602,-4.11,1.745,54.7844,12.658,0.37799999999999995
1862-02-01,35.1842,1.7690000000000001,0.7120000000000001,45.3326,7.407,2.7960000000000003,24.1772,-4.346,2.057,55.745599999999996,13.192,0.295
1862-03-01,40.073,4.485,0.6609999999999999,52.001599999999996,11.112,2.0,29.6348,-1.314,1.149,57.2792,14.044,0.284
1862-04-01,45.1814,7.322999999999999,0.8270000000000001,57.119,13.955,2.977,35.4776,1.932,1.11,58.685,14.825,0.316
